,city,cloudiness,country,date,humidity,lat,lon,max_temp,wind_speed
0,Mataura,0,NZ,1543194976,60,-46.19,168.86,291.432,9.86
1,Talnakh,0,RU,1543194976,56,69.49,88.39,249.007,1.21
2,Baruun-Urt,0,MN,1543194976,46,46.68,113.28,265.632,8.06
3,Hamilton,40,BM,1543193700,68,32.3,-64.78,295.15,8.2
4,Saskylakh,0,RU,1543194977,0,71.97,114.09,235.157,1.81
5,Bubaque,12,GW,1543194977,100,11.28,-15.83,300.807,3.01
6,New Norfolk,75,AU,1543192200,72,-42.78,147.06,289.15,2.1
7,Vangaindrano,92,MG,1543194978,98,-23.35,47.6,295.007,1.91
8,Ribeira Grande,92,PT,1543194978,92,38.52,-28.7,292.057,10.11
9,Upernavik,8,GL,1543194978,100,72.79,-56.15,262.707,10.31
10,Vestmanna,0,FO,1543193400,100,62.16,-7.17,276.15,2.6
11,Flin Flon,20,CA,1543190400,70,54.77,-101.88,255.15,1.5
12,Magadan,40,RU,1543192200,85,59.56,150.8,262.15,2.0
13,Ponta do Sol,92,BR,1543194979,99,-20.63,-46.0,291.057,2.11
14,Loding,75,DE,1543193400,93,48.05,12.68,277.15,2.1
15,Kaitangata,56,NZ,1543194979,88,-46.28,169.85,286.107,8.26
16,Atyrau,75,KZ,1543192200,76,47.1,51.92,273.15,2.0
17,Nikolskoye,90,RU,1543192200,79,59.7,30.79,271.15,5.0
18,Katobu,20,ID,1543194980,100,-4.94,122.53,301.157,0.96
19,Rikitea,8,PF,1543194980,99,-23.12,-134.97,298.557,5.71
20,Punta Arenas,75,CL,1543194000,70,-53.16,-70.91,282.15,6.7
21,Hermanus,68,ZA,1543194980,98,-34.42,19.24,285.607,1.31
22,Chuy,20,UY,1543194980,78,-33.69,-53.46,288.182,2.66
23,Busselton,44,AU,1543194981,100,-33.64,115.35,286.882,4.76
24,Bogdanovich,76,RU,1543194981,69,56.77,62.05,261.707,2.21
25,Kodiak,88,US,1543194981,89,39.95,-94.76,268.857,10.21
26,Hobart,75,AU,1543192200,72,-42.88,147.33,289.15,2.1
27,Arraial do Cabo,92,BR,1543194981,94,-22.97,-42.02,296.932,1.81
28,Poli,8,CM,1543194982,78,8.48,13.24,291.782,0.96
29,Albany,90,US,1543193100,100,42.65,-73.75,278.15,1.01
30,Ushuaia,75,AR,1543194000,65,-54.81,-68.31,281.15,5.1
31,Cabo San Lucas,5,MX,1543193400,68,22.89,-109.91,297.15,3.6
32,Athni,0,IN,1543194982,73,16.73,75.07,289.682,2.41
33,Lagoa,75,PT,1543194000,76,37.14,-8.45,287.15,5.7
34,Tiksi,12,RU,1543194983,55,71.64,128.87,237.657,1.16
35,Bambous Virieux,75,MU,1543190400,94,-20.34,57.76,298.15,5.7
36,Vaini,12,IN,1543194984,66,15.34,74.49,292.257,1.76
37,Kapaa,1,US,1543190160,60,22.08,-159.32,300.35,2.6
38,Lorengau,92,PG,1543194984,100,-2.02,147.27,301.407,3.26
39,Sao Filipe,0,CV,1543194984,95,14.9,-24.5,297.532,7.96
40,Barrow,0,AR,1543194984,41,-38.31,-60.23,291.707,3.56
41,Cape Town,75,ZA,1543190400,77,-33.93,18.42,291.15,4.1
42,Klaksvik,8,FO,1543193400,100,62.23,-6.59,276.15,2.6
43,Svetlogorsk,90,RU,1543192200,73,53.14,59.15,267.15,4.0
44,Rocha,8,UY,1543194985,58,-34.48,-54.34,287.707,1.61
45,Ikungi,0,TZ,1543194985,75,-5.13,34.77,290.507,3.56
46,Gimli,56,CA,1543194791,71,50.63,-96.99,261.407,5.11
47,Morehead,40,US,1543189980,50,38.18,-83.43,285.95,1.5
48,Hasaki,75,JP,1543192200,62,35.73,140.83,285.15,1.0
49,Port Hardy,90,CA,1543190400,87,50.7,-127.42,280.15,12.9
50,Saldanha,76,PT,1543194987,92,41.42,-6.55,278.957,5.96
51,Bilma,0,NE,1543194987,38,18.69,12.92,284.657,1.26
52,Diffa,0,NE,1543194987,33,13.32,12.61,290.407,3.31
53,Conde,92,BR,1543194987,85,-11.81,-37.61,299.007,3.61
54,Jamestown,76,AU,1543194988,61,-33.21,138.6,291.957,2.66
55,Berlevag,68,NO,1543194989,100,70.86,29.09,273.557,9.41
56,Torbay,90,CA,1543190400,63,47.66,-52.73,271.15,10.3
57,Tuktoyaktuk,75,CA,1543190400,77,69.44,-133.03,254.15,4.1
58,Birjand,0,IR,1543190400,75,32.86,59.22,284.15,3.1
59,Kurilsk,32,RU,1543194989,100,45.23,147.88,277.882,10.61
60,Thompson,75,CA,1543190400,84,55.74,-97.86,254.15,2.1
61,Fortuna,75,ES,1543194000,93,38.18,-1.13,289.15,2.1
62,Polunochnoye,32,RU,1543194991,43,60.87,60.43,247.457,1.16
63,Pevek,44,RU,1543194991,90,69.7,170.27,251.707,2.56
64,Cherskiy,24,RU,1543194991,53,68.75,161.3,238.057,0.41
65,Haines Junction,56,CA,1543194991,89,60.75,-137.51,265.157,1.01
66,Mikuni,40,JP,1543190400,87,36.22,136.15,285.15,1.0
67,Saint George,75,GR,1543193400,93,39.45,22.34,285.15,1.26
68,Yar-Sale,20,RU,1543194992,63,66.83,70.83,247.907,1.36
69,Atuona,64,PF,1543194992,100,-9.8,-139.03,298.257,4.41
70,Alofi,0,NU,1543190400,62,-19.06,-169.92,303.15,5.7
71,Guerrero Negro,0,MX,1543194992,62,27.97,-114.04,294.707,2.86
72,Bredasdorp,32,ZA,1543190400,77,-34.53,20.04,292.15,1.0
73,Chake Chake,44,TZ,1543194993,100,-5.25,39.77,299.782,3.26
74,Bandarbeyla,88,SO,1543194993,100,9.49,50.81,299.307,5.06
75,Lebu,0,ET,1543190400,76,8.96,38.73,284.15,1.0
76,Georgetown,92,GY,1543194994,87,6.8,-58.16,299.107,3.66
77,Lac du Bonnet,56,CA,1543194995,90,50.25,-96.06,260.607,4.56
78,Stepnyak,88,KZ,1543194995,87,52.83,70.79,264.957,6.16
79,Coihaique,0,CL,1543194000,61,-45.58,-72.07,283.15,1.5
80,Qaanaaq,56,GL,1543194995,100,77.48,-69.36,254.957,7.26
81,Saint-Pierre,90,FR,1543194000,100,48.95,4.24,279.15,2.6
82,Yumen,0,CN,1543194997,71,40.29,97.04,264.207,0.26
83,Manokwari,32,ID,1543194997,100,-0.87,134.08,300.282,0.31
84,Sidi Ali,100,DZ,1543194997,91,36.1,0.42,287.857,5.61
85,Harper,1,US,1543193460,42,30.3,-99.24,283.95,2.1
86,Bethel,20,US,1543193580,87,60.79,-161.76,261.45,10.8
87,Mar del Plata,0,AR,1543194984,42,-46.43,-67.52,290.957,2.26
88,Ilulissat,76,GL,1543193400,73,69.22,-51.1,266.15,0.5
89,Clarence Town,75,AU,1543194000,49,-32.59,151.78,296.15,8.7
90,Port Alfred,88,ZA,1543194998,96,-33.59,26.89,292.807,2.81
91,Aklavik,75,CA,1543190400,76,68.22,-135.01,252.15,3.6
92,Sola,90,NO,1543193400,80,58.89,5.65,274.15,2.1
93,Dieppe,90,FR,1543194000,93,49.92,1.08,276.15,5.1
94,Airai,8,TL,1543194999,91,-8.93,125.41,298.032,1.06
95,Port Elizabeth,20,US,1543193760,88,39.31,-74.98,284.25,1.46
96,Timbuktu,32,ML,1543194999,40,16.77,-3.01,292.807,1.66
97,Ust-Tarka,68,RU,1543194999,80,55.56,75.71,261.132,2.26
98,Leningradskiy,68,RU,1543195000,100,69.38,178.42,260.957,7.16
99,Ust-Ilimsk,68,RU,1543194865,57,57.96,102.73,262.707,3.91
100,Puerto Ayora,40,EC,1543190400,73,-0.74,-90.35,297.15,4.1
101,Amos,90,CA,1543193280,98,48.57,-78.12,275.15,2.6
102,Rawson,0,AR,1543195000,33,-43.3,-65.11,290.932,2.56
103,Mangrol,0,IN,1543195000,80,25.33,76.51,282.932,1.26
104,Sorland,36,NO,1543195000,100,67.67,12.69,277.882,10.46
105,Esperance,20,TT,1543190400,83,10.24,-61.45,300.15,3.41
106,Lexington,90,US,1543193700,68,38.05,-84.5,284.85,5.7
107,Bluff,0,AU,1543195001,23,-23.58,149.07,305.857,3.41
108,Kurgan,88,RU,1543194829,90,55.45,65.32,266.107,3.56
109,Viedma,0,AR,1543195001,43,-40.81,-62.99,288.707,3.41
110,Shimoda,75,JP,1543190400,55,34.7,138.93,290.15,5.7
111,Karratha,0,AU,1543195002,21,-20.74,116.85,299.407,2.96
112,Sao Joao da Barra,92,BR,1543195002,100,-21.64,-41.05,297.032,5.61
113,Iraquara,100,BR,1543195002,75,-12.24,-41.62,295.457,3.71
114,Avarua,20,CK,1543194000,51,-21.21,-159.78,302.15,6.2
115,Asosa,0,ET,1543195003,65,10.07,34.53,289.182,1.51
116,Kibala,0,TD,1543190400,64,9.11,18.35,295.15,1.21
117,Ostrovnoy,12,RU,1543195003,86,68.05,39.51,260.907,3.66
118,Sao Miguel,32,BR,1543195003,100,4.52,-61.01,292.207,1.21
119,Tommot,20,RU,1543195004,40,58.97,126.27,240.157,1.11
120,Kenai,90,US,1543193760,75,60.55,-151.26,276.45,9.8
121,Saint-Philippe,90,CA,1543193460,100,45.36,-73.48,277.15,1.0
122,Butaritari,68,KI,1543195005,100,3.07,172.79,300.457,1.81
123,Teluk Intan,75,MY,1543190400,94,4.02,101.03,298.15,2.41
124,Kutum,12,SD,1543195006,41,14.2,24.66,284.682,4.21
125,Miri,0,NG,1543195006,63,10.31,9.75,287.807,1.31
126,Obo,0,CF,1543195006,73,5.39,26.49,291.007,1.81
127,Longyearbyen,20,NO,1543193400,72,78.22,15.63,261.15,3.6
128,Faanui,0,PF,1543195006,100,-16.48,-151.75,301.132,4.56
129,Belyy Yar,0,RU,1543192200,61,53.6,91.39,263.15,4.0
130,Bitkine,20,TD,1543195007,63,11.98,18.21,290.707,1.31
131,East London,92,ZA,1543195007,100,-33.02,27.91,294.307,6.26
132,Mahebourg,75,MU,1543190400,94,-20.41,57.7,298.15,5.7
133,Beloha,92,MG,1543195007,70,-25.17,45.06,297.357,3.41
134,Fairbanks,1,US,1543193880,90,64.84,-147.72,260.95,1.36
135,Aykhal,24,RU,1543195008,46,65.95,111.51,238.807,1.26
136,Codrington,0,AU,1543195008,45,-28.95,153.24,299.532,1.91
137,Victoria,75,BN,1543192200,88,5.28,115.24,301.15,1.0
138,Bonavista,88,CA,1543195009,100,48.65,-53.11,274.907,13.81
139,Zhigansk,8,RU,1543195009,58,66.77,123.37,237.057,3.11
140,Najran,0,SA,1543190400,40,17.54,44.22,295.15,1.86
141,Barentu,12,ER,1543195010,83,15.11,37.59,288.957,1.66
142,Huarmey,68,PE,1543195010,65,-10.07,-78.15,292.757,1.46
143,Hofn,48,IS,1543195010,100,64.25,-15.21,274.357,1.31
144,Hami,0,CN,1543195010,72,42.84,93.51,260.782,2.96
145,Petropavlovsk-Kamchatskiy,20,RU,1543192200,78,53.05,158.65,262.15,4.0
146,Vardo,1,US,1543193580,85,39.62,-77.74,280.15,1.01
147,Dixon,1,US,1543194000,67,38.45,-121.82,289.15,1.5
148,Gotsu,0,JP,1543190400,87,35.01,132.22,282.15,4.1
149,Yellowknife,90,CA,1543192380,85,62.45,-114.38,264.15,6.7
150,Miraflores,44,CO,1543195012,100,5.2,-73.14,284.757,0.86
151,Nazret,0,ET,1543195012,70,8.55,39.27,289.282,5.16
152,Loa Janan,92,ID,1543195012,100,-0.58,117.09,296.782,0.76
153,Grindavik,75,IS,1543194000,86,63.84,-22.43,275.15,4.1
154,Sal Rei,40,CV,1543190400,73,16.18,-22.92,295.15,7.2
155,Margate,75,AU,1543192200,72,-43.03,147.26,289.15,2.1
156,Banda Aceh,24,ID,1543195013,100,5.56,95.32,296.132,0.76
157,Vanavara,80,RU,1543195013,72,60.35,102.28,257.057,1.61
158,Ust-Kut,64,RU,1543195013,52,56.78,105.75,262.207,4.11
159,Salalah,0,OM,1543189800,78,17.01,54.1,298.15,2.1
160,Barcelos,75,PT,1543194000,66,41.53,-8.62,287.15,7.7
161,Ixtapa,40,MX,1543193340,88,20.71,-105.21,298.15,1.5
162,Lazaro Cardenas,75,MX,1543193040,71,28.39,-105.62,283.15,1.5
163,San Juan,40,PR,1543193760,79,18.47,-66.12,300.35,2.1
164,Dinar,90,TR,1543191600,93,38.07,30.16,276.15,0.5
165,Dikson,32,RU,1543195016,96,73.51,80.55,252.757,2.86
166,Lucea,75,JM,1543194000,83,18.44,-78.17,300.15,3.6
167,Half Moon Bay,1,US,1543193760,87,37.46,-122.43,292.15,1.5
168,Stavern,0,NO,1543193400,79,59.0,10.03,271.15,2.1
169,Castro,0,CL,1543195018,76,-42.48,-73.76,284.932,2.76
170,Carnarvon,0,ZA,1543194948,36,-30.97,22.13,284.807,1.31
171,Shahpura,20,IN,1543195018,79,25.63,74.93,285.357,1.26
172,Hithadhoo,8,MV,1543195018,99,-0.6,73.08,301.907,3.06
173,Maniitsoq,8,GL,1543195019,77,65.42,-52.9,271.257,2.66
174,Yerbogachen,20,RU,1543195019,67,61.28,108.01,249.782,2.46
175,Henties Bay,0,NA,1543195019,98,-22.12,14.28,289.007,1.06
176,Sol-Iletsk,92,RU,1543195019,87,51.16,55.0,272.407,4.66
177,Litovko,76,RU,1543195019,72,49.24,135.18,260.107,0.76
178,Kastamonu,8,TR,1543195019,74,41.38,33.78,264.182,1.06
179,Provideniya,40,RU,1543192200,61,64.42,-173.23,264.15,8.0
180,Banamba,0,ML,1543195020,28,13.55,-7.45,294.682,4.21
181,Richards Bay,12,ZA,1543194903,83,-28.77,32.06,296.032,3.46
182,Geraldton,90,CA,1543190400,78,49.72,-86.95,263.15,4.6
183,Nuristan,90,UZ,1543192200,93,38.49,65.64,276.15,1.0
184,Iquique,90,CL,1543194000,73,-20.22,-70.14,294.15,5.1
185,Uusikaupunki,88,FI,1543193400,100,60.8,21.41,270.15,2.1
186,Mayna,64,RU,1543195021,74,53.0,91.49,262.132,3.56
187,Cayenne,92,GF,1543194000,88,4.94,-52.33,300.15,4.1
188,Road Town,20,VG,1543194000,88,18.42,-64.62,299.85,1.0
189,Along,0,IN,1543195022,73,28.17,94.8,282.682,1.06
190,Daru,12,SL,1543195022,84,7.99,-10.85,297.682,2.01
191,Tasiilaq,0,GL,1543193400,54,65.61,-37.64,271.15,1.5
192,Montes Claros,92,BR,1543195022,95,-16.73,-43.87,289.707,4.11
193,Portland,1,US,1543193580,60,45.52,-122.67,282.55,2.1
194,Zhezkazgan,0,KZ,1543195023,75,47.8,67.71,256.682,2.16
195,Arlit,20,NE,1543195023,35,18.74,7.39,287.507,1.41
196,Sosnovoborsk,75,RU,1543192200,72,56.12,93.34,261.15,8.0
197,Tefe,68,BR,1543195023,100,-3.35,-64.71,297.157,2.46
198,Amudat,0,UG,1543195024,74,1.95,34.95,290.407,2.01
199,Nijar,36,ES,1543194000,82,36.97,-2.21,290.15,14.4
200,Seymchan,48,RU,1543195024,84,62.93,152.39,240.032,1.01
201,Caceres,68,CO,1543195024,100,5.53,-74.53,294.057,0.26
202,Lakes Entrance,88,AU,1543195024,96,-37.88,147.99,288.532,3.66
203,Dhidhdhoo,12,MV,1543195024,100,6.88,73.1,301.807,3.56
204,Baykit,68,RU,1543195025,78,61.68,96.39,255.907,2.31
205,Suozhen,0,CN,1543195025,84,36.95,118.1,276.282,3.31
206,San Rafael del Sur,20,NI,1543190400,78,11.85,-86.44,301.15,3.1
207,Taoudenni,0,ML,1543195025,66,22.68,-3.98,285.107,2.11
208,Poum,92,MK,1543195025,100,41.28,20.71,278.557,0.91
209,Kysyl-Syr,36,RU,1543195025,51,63.9,122.77,238.382,1.31
210,Kharhial,0,IN,1543195026,81,20.28,82.77,283.682,1.16
211,Kungurtug,44,RU,1543195026,67,50.6,97.53,255.632,3.01
212,Broken Hill,0,AU,1543195026,56,-31.97,141.45,295.207,2.11
213,Mitzic,68,GA,1543195026,98,0.78,11.55,295.432,1.01
214,Dunedin,92,NZ,1543195018,100,-45.87,170.5,283.632,4.11
215,Elizabeth City,1,US,1543193460,100,36.3,-76.22,282.55,1.01
216,Alta Floresta,68,BR,1543195027,89,-9.87,-56.08,298.457,1.16
217,Aksu,90,KZ,1543192200,85,52.04,76.93,263.15,3.0
218,Hovd,90,NO,1543193400,86,63.83,10.7,277.15,8.2
219,Acajutla,0,SV,1543193400,69,13.59,-89.83,298.15,1.0
220,Paravur,75,IN,1543192200,94,10.15,76.23,297.15,1.0
221,La Rioja,32,AR,1543195028,54,-29.41,-66.86,299.607,1.56
222,Nyurba,0,RU,1543195028,62,63.29,118.35,236.282,1.66
223,Pacific Grove,1,US,1543193700,77,36.62,-121.92,290.15,1.81
224,Padang,24,ID,1543195028,100,-0.92,100.36,299.357,2.96
225,Pochutla,40,MX,1543193100,69,15.74,-96.47,301.15,4.91
226,Ugoofaaru,36,MV,1543195028,100,5.67,73.0,301.507,2.66
227,Isangel,68,VU,1543195029,100,-19.55,169.27,299.157,4.76
228,Tomball,1,US,1543192500,38,30.1,-95.62,290.95,6.7
229,Flinders,40,AU,1543190400,49,-34.58,150.85,294.15,8.2
230,Mount Gambier,56,AU,1543194871,75,-37.83,140.78,289.882,1.56
231,Chekhov,75,RU,1543192200,85,55.14,37.45,269.15,2.0
232,Port Blair,32,IN,1543195029,100,11.67,92.75,301.407,4.66
233,Namatanai,44,PG,1543195030,98,-3.66,152.44,302.457,3.41
234,Mongo,0,CF,1543195030,59,4.83,22.92,297.407,1.96
235,Aviles,64,ES,1543194000,93,43.55,-5.92,280.15,4.1
236,Crepy-en-Valois,75,FR,1543194000,100,49.23,2.89,279.15,6.2
237,Fort Nelson,20,CA,1543190400,84,58.81,-122.69,258.15,1.5
238,Katherine,0,AU,1543192200,52,-14.47,132.26,304.15,4.1
239,Kahului,20,US,1543192680,73,20.89,-156.47,302.05,3.1
240,Vila Franca do Campo,40,PT,1543194000,72,37.72,-25.43,290.15,7.2
241,Mehamn,12,NO,1543195031,90,71.03,27.85,272.932,7.16
242,Moanda,76,CD,1543195031,89,-5.93,12.38,298.682,1.86
243,Omboue,92,GA,1543195031,100,-1.57,9.26,297.932,0.76
244,Calvinia,64,ZA,1543195031,75,-31.47,19.78,282.307,1.16
245,Xiongzhou,90,CN,1543190400,100,32.34,118.83,282.15,1.0
246,Yulara,32,AU,1543192440,26,-25.24,130.99,308.15,7.7
247,Lincoln,20,GB,1543193400,100,53.23,-0.54,280.15,3.6
248,Kedainiai,68,LT,1543193400,92,55.29,23.97,270.15,0.5
249,Pangody,36,RU,1543195033,55,65.85,74.49,244.807,1.56
250,Kavieng,24,PG,1543195033,100,-2.57,150.8,302.032,3.86
251,Nanortalik,0,GL,1543189800,55,60.14,-45.24,277.15,2.6
252,Hilo,40,US,1543193760,69,19.71,-155.08,300.35,5.7
253,Samarai,8,PG,1543195033,99,-10.62,150.67,301.557,2.11
254,Reitz,48,ZA,1543195034,83,-27.8,28.43,287.157,1.31
255,Kaltasy,64,RU,1543195034,91,55.97,54.79,267.182,2.51
256,Havre-Saint-Pierre,40,CA,1543190400,73,50.23,-63.6,268.15,4.1
257,Ostersund,56,SE,1543193400,94,63.18,14.64,273.15,4.6
258,Rusape,44,ZW,1543195034,95,-18.53,32.12,287.007,1.11
259,Toora-Khem,20,RU,1543195034,56,52.47,96.11,255.257,2.06
260,Puerto Colombia,40,CO,1543194000,83,10.99,-74.96,300.15,5.1
261,Chokurdakh,36,RU,1543195035,51,70.62,147.9,250.382,3.21
262,Timisesti,90,RO,1543194000,100,47.23,26.55,271.15,2.1
263,Kruisfontein,100,ZA,1543195035,99,-34.0,24.73,291.132,2.51
264,Esterhazy,64,CA,1543195035,64,50.65,-102.08,262.282,2.21
265,Lahijan,90,IR,1543190400,93,37.21,50.0,284.15,3.1
266,Manta,80,RO,1543195036,94,45.1,24.1,276.107,1.26
267,Nhulunbuy,40,AU,1543192200,56,-12.18,136.78,307.15,5.7
268,Coruripe,88,BR,1543195036,98,-10.12,-36.18,299.282,5.16
269,Hangha,0,SL,1543195036,92,7.94,-11.14,297.032,1.81
270,Tacuarembo,0,UY,1543195037,57,-31.73,-55.98,290.382,2.56
271,Labuhan,20,ID,1543195037,91,-2.54,115.51,298.632,0.76
272,Naze,0,NG,1543195037,86,5.43,7.07,297.857,4.46
273,Christchurch,80,NZ,1543192200,93,-43.53,172.64,286.15,6.7
274,Albanel,90,CA,1543190400,100,48.88,-72.44,272.15,2.6
275,Gravdal,0,NO,1543193400,86,59.79,5.78,274.15,3.1
276,Manaira,76,BR,1543195038,79,-7.71,-38.15,295.757,4.01
277,Shakawe,76,BW,1543195038,70,-18.36,21.84,294.382,5.21
278,Joshimath,0,IN,1543195038,94,30.57,79.57,256.357,0.51
279,Tocopilla,0,CL,1543195038,91,-22.09,-70.2,290.207,2.66
